UNOFFICIAL ELECTION RESULTS<br/>CLICK ON ELECTION RESULTS EXPLAINED TO LEARN MORE<br/>NEXT UPDATE 04/14/2025 BY 6PM
SanDiego
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","8","28.50%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","8","28.50%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","38","8.19%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","27","8.19%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","7","8.19%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","7","8.19%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","6","8.19%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","4","8.19%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","3","8.19%"
"0016-340400-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","94","21.36%"
"0016-340400-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","76","21.36%"
"0016-340400-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","41","21.36%"
"0016-340400-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","15","21.36%"
"0016-340400-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","15","21.36%"
"0016-340400-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","8","21.36%"
"0016-340400-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","3","21.36%"
"0017-340600-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","72","12.74%"
"0017-340600-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","59","12.74%"
"0017-340600-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","17","12.74%"
"0017-340600-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","15","12.74%"
"0017-340600-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","12","12.74%"
"0017-340600-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","3","12.74%"
"0017-340600-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","12.74%"
"0018-340630-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","81","18.95%"
"0018-340630-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","61","18.95%"
"0018-340630-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","21","18.95%"
"0018-340630-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","16","18.95%"
"0018-340630-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","8","18.95%"
"0018-340630-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","4","18.95%"
"0018-340630-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","1","18.95%"
"0019-341200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","156","22.65%"
"0019-341200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","83","22.65%"
"0019-341200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","35","22.65%"
"0019-341200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","18","22.65%"
"0019-341200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","6","22.65%"
"0019-341200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","5","22.65%"
"0019-341200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","22.65%"
"0020-341220-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","106","16.04%"
"0020-341220-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","61","16.04%"
"0020-341220-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","41","16.04%"
"0020-341220-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","22","16.04%"
"0020-341220-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","13","16.04%"
"0020-341220-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","8","16.04%"
"0020-341220-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","16.04%"
"0021-341800-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","42","10.45%"
"0021-341800-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","39","10.45%"
"0021-341800-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","22","10.45%"
"0021-341800-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","22","10.45%"
"0021-341800-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","7","10.45%"
"0021-341800-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","6","10.45%"
"0021-341800-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","10.45%"
"0022-341810-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","78","13.32%"
"0022-341810-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","50","13.32%"
"0022-341810-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","24","13.32%"
"0022-341810-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","18","13.32%"
"0022-341810-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","9","13.32%"
"0022-341810-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","6","13.32%"
"0022-341810-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","6","13.32%"
"0023-341900-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","68","11.86%"
"0023-341900-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","49","11.86%"
"0023-341900-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","25","11.86%"
"0023-341900-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","16","11.86%"
"0023-341900-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","12","11.86%"
"0023-341900-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","5","11.86%"
"0023-341900-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","3","11.86%"
"0024-341910-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","118","21.70%"
"0024-341910-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","106","21.70%"
"0024-341910-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","32","21.70%"
"0024-341910-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","20","21.70%"
"0024-341910-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","9","21.70%"
"0024-341910-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","8","21.70%"
"0024-341910-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","4","21.70%"
"0025-341920-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","100","18.67%"
"0025-341920-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","68","18.67%"
"0025-341920-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","26","18.67%"
"0025-341920-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","16","18.67%"
"0025-341920-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","5","18.67%"
"0025-341920-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","4","18.67%"
"0025-341920-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","3","18.67%"
"0026-342030-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0026-342030-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0026-342030-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0026-342030-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0026-342030-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0026-342030-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0026-342030-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0027-345000-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","51","14.34%"
"0027-345000-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","49","14.34%"
"0027-345000-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","27","14.34%"
"0027-345000-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","9","14.34%"
"0027-345000-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","1","14.34%"
"0027-345000-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","1","14.34%"
"0027-345000-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","14.34%"
"0028-345210-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","66","11.88%"
"0028-345210-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","58","11.88%"
"0028-345210-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","9","11.88%"
"0028-345210-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","4","11.88%"
"0028-345210-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","4","11.88%"
"0028-345210-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","3","11.88%"
"0028-345210-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","2","11.88%"
"0029-345810-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","125","16.14%"
"0029-345810-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","31","16.14%"
"0029-345810-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","27","16.14%"
"0029-345810-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","16","16.14%"
"0029-345810-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","2","16.14%"
"0029-345810-GOLDEN HILL","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","2","16.14%"
